name,yomi,link,pref,city,活動住所,活動場所,活動日,参加条件,定員,費用,ホームページ,備考,募集内容,応募方法,募集開始,募集締切,事務局,TEL,（お願い）,（受付時間）,FAX,E-mail,（その他）,事務局（住所）,その他,募集人員,事務局①,事務局②
牛久市少年少女発明クラブ,うしくし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=69,茨城県,牛久市,牛久市牛久町1606,牛久市立向台小学校図工室,原則として毎月第一、第三土曜日　　午前9時30分～11時30分,牛久市内の小学校3年生～6年生,48名,"年会費4,000円",,,,2月に学校で募集のチラシが配られます。,3月初め,3月中ごろ,牛久市教育委員会文化芸術課　発明クラブ担当,０２９－８７１－２３０１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,午前8時30分から午後5時30分,,usikuhatumei@outlook.jp,,,,,,
日立少年少女発明クラブ,ひたち,http://kids.jiii.or.jp/modules/pico/index.php?content_id=68,茨城県,日立市,日立市幸町1-21-1日立シビックセンター6階,日立市幸町1-21-1日立シビックセンター6階,定例活動（毎月第2日曜日）、補完活動（毎月第4日曜日）,小学3年生から中学3年生まで,概ね70名,3000円（年会費）※臨時徴収有,http://www.hatumei.info/,,,市報等で周知,2月下旬,3月下旬 ※ただし、クラブ員数に余裕がある場合は随時募集,日立市生活環境部女性青少年課,０２９４－２６－０３１５,※E-mailで問い合わせ等をする場合は、「発明クラブへの問い合わせ」と最初に記載してください。,9時から17時30分（土・日、祝日を除く）,０２９４－２６－０３１７,josei＠city.hitachi.lg.jp　※送信時は＠を半角小文字にしてください。,,,,,,
ひたちなか少年少女発明クラブ,ひたちなか,http://kids.jiii.or.jp/modules/pico/index.php?content_id=66,茨城県,ひたちなか市,ひたちなか市東石川1-1-1,ひたちなか市立東石川小学校内,毎月第1・第3日曜日、第2・第4土曜日のうちから2～3回、夏休み,市内在住の小学3年生～中学2年生,55,,,,,,,,ひたちなか市教育委員会生涯学習課内　少年少女発明クラブ事務局,０２９－２６２－４１２５,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２９－２６２－５６３７,,,,,,,
水戸少年少女発明クラブ,みと,http://kids.jiii.or.jp/modules/pico/index.php?content_id=65,茨城県,水戸市,水戸市全隈町80-1,水戸市少年自然の家,毎月2回　土曜日の午前,市内在住又は市内の小中学校に通学する小学校3年生～中学校3年生,40,,https://www.city.mito.lg.jp/site/education/4399.html,,,,,,水戸市教育委員会事務局　生涯学習課　青少年育成係内　水戸少年少女発明クラブ事務局,０２９－３０６－８６９２,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２９－３０６－８６９３,ｓｅｉｓｙｏｕｎｅｎ＠ｃｉｔｙ．ｍｉｔｏ．ｌｇ．ｊｐ,,,,,,
小山市少年少女発明クラブ,おやまし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=70,栃木県,小山市,栃木県小山市乙女1-31-7,小山市立博物館,毎月2回（日曜日）,市内在住の小学3年生～中学1年生,30,,http://www5.city.oyama.tochigi.jp/hakubutu/,,,,,,小山市立博物館内　少年少女発明クラブ事務局,０２８５－４５－５３３１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２８５－４５－５２４７,,,,,,,
桐生少年少女発明クラブ,きりゅう,http://kids.jiii.or.jp/modules/pico/index.php?content_id=73,群馬県,桐生市,群馬県桐生市仲町2-4-21,桐生市東小学校,第１、第３土曜日　１４：００～１７：００,市内在住の小学３年生～中学３年生,25名,原則無料　※場合により材料費を集めることがあります。（５００円程度）,http://www.kiryucci.or.jp,他のクラブ活動、塾などにより全日程参加出来ない場合は、事務局（ＴＥＬ：０２７７－４５－１２０１）までご相談下さい。,工作が好きな方、手先が器用な方、発想が豊かな方・・・,申込書を桐生商工会議所へＦＡＸまたは、持参する。,毎年　３月１５日ごろより,毎年　４月１５日ごろ（定員になり次第締切り）,桐生商工会議所工業課内　桐生少年少女発明クラブ事務局,０２７７－４５－１２０１,※件名に「桐生少年少女発明クラブの件」とご記入下さい。,平日（午前８時３０分～午後５時１５分）,０２７７－４５－１２０６,info＠kiryucci.or.jp　※メール送信時は＠を半角小文字にしてください。,,,,,,
高崎少年少女発明クラブ,たかさき,http://kids.jiii.or.jp/modules/pico/index.php?content_id=72,群馬県,高崎市,〒370-0065群馬県高崎市末広町23番地1,高崎市少年科学館,第2・4日曜日（原則として）13：30～16：00,小学校4年生～中学校3年生,25名,"年3,000円",,見学会を実施する場合に参加費程度を集める場合もあります。,発明やものづくりに興味のある、小学生４年生以上中学生まで。,担当者までお問合せください（事務局：少年科学館　企画展示課）,毎年1月～2月,2月末日（中途からでも受付け可能な場合もあります）,高崎市少年科学館　企画展示課,０２７－３２１－０３２３,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9時～17時　　月曜日休館（夏休みは開館）,０２７－３１０－６６７６,ｔｅｎｊｉ＠ｔ-ｋａｇａｋｕｋａｎ．ｏｒ．ｊｐ,,,,,,
富岡少年少女発明クラブ,とみおか,http://kids.jiii.or.jp/modules/pico/index.php?content_id=74,群馬県,富岡市,〒370-2316　群馬県富岡市富岡1344番地,富岡市勤労者会館,6月から12月までの土曜日10回,富岡市内に住んでいる小学校4年生～6年生,24名,"3,000円（材料費・保険料）",,,工作や工夫、発明に興味のある児童,毎年4月1日または5月1日号に広報「とみおか」で募集,毎年4月上旬,広報・HPに掲載（毎年4月下旬～5月中旬）,富岡少年少女発明クラブ（富岡市役所産業振興課内）,０２７４－６２－１５１１（代表）,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,月～金（祝日を除く）AM8：30～PM5：15,０２７４－６２－０３５７,ｈａｔｓｕｍｅｉ＠ｃｉｔｙ．ｔｏｍｉｏｋａ．ｌｇ．ｊｐ,,,,,,
前橋少年少女発明クラブ,まえばし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=71,群馬県,前橋市,前橋市西片貝町5-7,前橋市児童文化センター,原則として第2・第4日曜日の午後（ただし，夏休みは別に行う）,市内在住の小学4年生～中学3年生,25,,http://www.jbc.menet.ed.jp/club/hatumei/index.html,,,,,,前橋市児童文化センター内　少年少女発明クラブ事務局,０２７－２２４－２５４８,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２７－２４３－８３６１,,,,,,,
加須市少年少女発明クラブ,かぞし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=75,埼玉県,加須市,埼玉県加須市外野３５０－１,加須市加須未来館,活動日と定めた土曜日（9:00～12:00）,市内在住の小学4年生～小学6年生,３６名,年間　1人　1000円（制作内容により必要な材料は各参加者で負担）,,,,,,,加須市教育委員会　生涯学習部　文化・学習センター,０４８０－６２－１２２１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,９：００～１７：００,０４８０－６２－２２２１,ｂｕｎｋａｇａｋｕｓｈｕ＠ｃｉｔｙ．ｋａｚｏ．ｌｇ．ｊｐ,,,,,,
さいたま市少年少女発明クラブ,さいたまし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=76,埼玉県,さいたま市北区,埼玉県さいたま市北区日進町2-1864-5,さいたま市産業振興会館,第1・3・5土曜日,市内在住の小学4年生～中学2年生,30,,,,,,,,さいたま市少年少女発明クラブ事務局,０４８－６６５－８０６１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０４８－６６５－８０６１,,,,,,,
新座市少年少女発明クラブ,にいざし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=77,埼玉県,新座市,新座市畑中1-15-58,新座市畑中公民館,学校休日の土曜日の午前,小学校4年生～6年生,18名,"年会費2,000円",,,工作や科学に興味があり、8割以上出席が可能な方,電話で先着順、受け付けた人には案内を送る,2月初旬頃,定員満了時,新座市畑中公民館内,０４８－４７８－５４１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,火曜日～土曜日　8:30～17:00,０４８－４８２－４５９３,,,,,,,
旭少年少女発明クラブ,あさひ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=82,千葉県,旭市,千葉県旭市二の51257,旭市青年の家　工作室（クラブ専用の独立建物）,毎月第4日曜日を除く午前中8：30-11：30（但し3連休は休みとし第4週と振替）年間37回実施,旭市内小学校3～6年生（希望者は中2まで可）,30名（最大36名まで可）,"年間　6,000円（傷害保険・材料費の一部）",http://www.hirameki.jiii.or.jp/sibu/chiba/chiba.htm,ｒｓｃ７１５５２＠ｎｉｆｔｙ．ｃｏｍ,,学校訪問（２月）と市広報（3/1号）で募集。募集要項・申込書は事務局及び学校、現クラブ員に配布。申込書を学校または直接事務局に提出する。,２月上旬～,定員到達まで（ゆとりがあれば４月中は受け入れ可）,千葉県旭市二の51257　旭市青年の家内　旭少年少女発明クラブ,０４７９－６３－１５２５,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,8:30～17:00,０４７９－６３－１５２６,rsc71552@nifty.com,,,,,,
市原・袖ケ浦少年少女発明クラブ,いちはら・そでがうら,http://kids.jiii.or.jp/modules/pico/index.php?content_id=85,千葉県,市原市,千葉県市原市椎津461,市原市立姉崎小学校,毎年5月～3月　第2・4土曜日　午前の部9:30～12:00　午後の部13:00～15:30,小学校3年生～中学校2年生,140名,"年間5,000円",http://hirayama-a.com/hatumeiclub/index.html,,,ハガキに住所、氏名、電話番号、学校名、新学年、性別、希望クラス（午前、午後）、保護者名明記,毎年2月中旬～,毎年3月初旬（多数の場合は抽選）,住友化学（株）千葉工場総務チーム内,０４３６－６１－１３１３,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,8:00～17:00,０４３６－６１－２２２９,,,,,,,
佐倉少年少女発明クラブ,さくら,http://kids.jiii.or.jp/modules/pico/index.php?content_id=83,千葉県,佐倉市,千葉県佐倉市飯野820,佐倉草ぶえの丘,原則として月3回、土曜日,市内在住の小学3年生～小学6年生,30,,,,,,,,佐倉市教育委員会内　少年少女発明クラブ事務局,０４３－４８４－６１８５,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０４３－４８６－９４０１,,,,,,,
千葉市少年少女科学クラブ,ちばし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=79,千葉県,千葉市中央区,千葉県千葉市中央区中央４丁目５番１号,千葉市科学館　９階科学工作室,"毎年6月～3月までの日曜日のうち全30日前後　9：30-12：00
　　　　　　※夏休み期間中は平日の活動もあり",小学校4年生～中学校2年生,20名(基礎工作コース／アイデア工作コース）,5000円（教材費、科学館年間パスポート個人会員費用含む）,http://www.kagakukanQ.com,楽しいアイデア工作を通して、科学的に考える力や独創性を身につけます。,自分で考えたアイデアを工作してかたちにしたい方を募集します。,千葉市科学館ホームページ等で募集要項をご確認の上、往復はがきにてご応募ください。（応募多数の場合抽選）,※詳細はHP等でご確認ください,,千葉市科学館,０４３－３０８－０５１７(教育普及）,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9:00～19:00　※休館日あり,０４３－３０８－０５２０,,,,,,,
八匝少年少女発明クラブ,はっそう,http://kids.jiii.or.jp/modules/pico/index.php?content_id=80,千葉県,匝瑳市,〒289-2192 千葉県匝瑳市今泉6474番地,匝瑳市役所野栄総合支所,毎月第1・3・4の日曜日　　　３連休となった日曜日は休講,小学３年生～中学３年生　条件付きで小学２年生も可,20人,"教材費および保険料として入会時に5,000円",https://www.facebook.com/八匝少年少女発明クラブ-237402073821199,クラブ活動の実態等または、協賛等のご連絡は千葉県匝瑳市上谷中2290-9電話0479-73-3510(会長、笹本)までお願いします。,管内の小中学校に通う小学3年生から中学3年生　定員20名,：匝瑳市および横芝光町広報2月号に掲載し、管内各小中学校に募集要項を配布します。,2月1日頃から,3月中旬,八匝少年少女発明クラブ　会長　笹本稔,０８０－５４２８－８３２５または０４７９－７３－３５１０（自宅）,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,平日は19時から20時くらい　土、日は受遺時,０４７９－７３－３５１０,,,,,,,
松戸市少年少女発明クラブ,まつど,http://kids.jiii.or.jp/modules/pico/index.php?content_id=81,千葉県,松戸市,千葉県松戸市新松戸3-1-4,新松戸未来館2階,原則として、毎週土曜日は14：30-16：30、毎週日曜日は10：00-12：00の各時間です。,小３から中３（保護者同伴で低学年も可能）,土曜・日曜コースともに各４０名〈８０名〉,旧８０００円⇒１００００円（H30年度より）,,土・日以外は事務局へ（０９０－５７６６－３７５１）,,新規・継続とも４月の学校がスタートしてから１年ごと提出,継続する部員優先、新規は４月１日以降,５月５日定員になり次第,新松戸未来館２階,０９０－５７６６－３７５１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,土曜日午後13：00-17：00、日曜日午前9：00-13：00,,ｙｎ２４８２９＠ｙａｈｏｏ．ｃｏ．ｊｐ/td>,入会の申込書は、①新松戸未来館２階外玄関前、②近隣の小学校、③松戸市文化ホール（松戸ビル４階）④松戸市役所生涯学習課に有ります。,,,,,
茂原少年少女発明クラブ,もばら,http://kids.jiii.or.jp/modules/pico/index.php?content_id=84,千葉県,茂原市,〒297-0023 千葉県茂原市千代田 2-8-12,茂原市社会教育センター　内,毎週土・日曜日の午前中。　(お盆、正月休み有),小学3年生から中学2年生。（原則として）,60名,"年間　5,000円　（傷害保険含む）",https://sites.google.com/site/mobarahatsumei/,,工作に興味があり、道具をうまく使いこなしたいお子さん。,ハガキ、又は電話でクラブ事務局へ問合せ。,毎年4月初めから。（途中入会可能）,4月中旬。（途中入会可能）,茂原市教育委員会　生涯学習課,０４７５－２０－１５５９,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,月曜～金曜日　10:00～15:00,０４７５－２０－１６０７,gakusyu＠city.mobara.chiba.jp,,,,,,
おおた少年少女発明クラブ,おおた,http://kids.jiii.or.jp/modules/pico/index.php?content_id=89,東京都,大田区,東京都大田区蒲田2-10-1,大田区産学連携施設,主に毎月第2・第4土曜日,小学4年生～小学6年生,53,,https://www.pio-ota.jp/human-resources/hatsumei-club.html,,,,,,㈶大田区産業振興協会企業支援グループ経営サポートチーム内　少年少女発明クラブ事務局,０３－３７３３－６１４４,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０３－３７３３－６４９６,,,,,,,
台東区少年少女発明クラブ,たいとうく,http://kids.jiii.or.jp/modules/pico/index.php?content_id=87,東京都,台東区,台東区西浅草３－２５－１６,台東区生涯学習センター,"土曜日コース：　 　毎月第1・第3土曜日の14時から16時
日曜日午前コース：毎月第1・第3日曜日の10時から12時
日曜日午後コース：毎月第1・第3日曜日の14時から16時",台東区内在住か在学の小学校3年生から中学校3年生の児童・生徒,各コース32名　合計96名,"年会費3,000円",http://www.hatumei.club/,,,,2月末,3月末日,台東区教育委員会生涯学習課,０３（５２４６）５８１５,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9:00～17:00,０３（５２４６）５８１４,,,,,,,
調布少年少女発明クラブ,ちょうふ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=88,東京都,調布市,東京都調布市調布ヶ丘1-5-1,電気通信大学創立80周年記念会館,月１回。原則第1又は第3土曜日，14:00～16:00,小学4年生～小学6年生,36名（女子18名，男子18名）,"年会費 6,000円（傷害保険料および材料代実費相当）",http://www.ccr.uec.ac.jp/activity/club/hatsumei_index.html,,ホームページをご確認ください。,ホームページをご確認ください。,2022年2月1日,2022年2月28日,電気通信大学社会連携センター発明クラブ事務局,０４２－４４３－５８８０,※件名に、「調布少年少女発明クラブの件」とご記入下さい。,9:00～17:00（昼休み12:00～13:00）,０４２－４４３－５８８７,ｄｅｓｋ＠ｃｃｒ．ｕｅｃ．ａｃ．ｊｐ,,,,,,
町田市少年少女発明クラブ,まちだし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=90,東京都,町田市,東京都町田市本町田２８６３,町田市青少年施設ひなた村、ほか,原則　毎月1回　日曜日午前9時30分～１２時、若しくは１６時（内容による）,小学校3年生～中学校3年生の男女学童、生徒,会員：72名　1班6名12班編成、準会員は定めていません,"年会費　会員：13,000　円、準会員：8,000円",http://blog.livedoor.jp/machida_club,全てのプログラムに参加する会員と、当クラブのエッセンスであるコンテストやイベントなどに参加する準会員があります。詳細は、当クラブホームページをご覧ください。,原則町田市在住小学校3年生～中学校3年生男女,町田市広報「広報まちだ」に募集案内記載,2月21日ごろを予定,2月 末日ごろを予定,町田市青少年施設ひなた村内発明クラブ事務局,０４２－７２８－１５０４,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,随時,０４２－７２９－３８５１,,,,,,,
みなと少年少女発明クラブ,みなと,http://kids.jiii.or.jp/modules/pico/index.php?content_id=394,東京都,港区,東京都港区虎ノ門３－６－９,港区立みなと科学館,月１回　日曜日,港区在住の小学校３～６年生,１８名,５０００円（材料費）,https://minato-kagaku.tokyo/,,２０２０年度の応募は締め切りました。,,,,㈶ 港区立みなと科学館　みなと少年少女発明クラブ事務局　　担当：米谷（よねたに）,０３－６３８１－５０４１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,午前９時～午後８時,０３－３５７８－３７１９,,,,,,,
川崎北部少年少女発明クラブ,かわさきほくぶ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=354,神奈川県,川崎市麻生区,①川崎市多摩区中野島3-12-1、②川崎市麻生区万福寺1-2-2,①中野島小学校、②新百合21ビル内,原則として、毎月第2・4日曜日,川崎市高津区・宮前区・多摩区・麻生区及び近隣在住の小学３年生～中学３年生の児童生徒,：ホームページをご覧ください。,：ホームページをご覧ください。,https://www.isc.meiji.ac.jp/~nagailab/kncic/index.html,,"川崎市高津区・宮前区・多摩区・麻生区及び近隣在住の小
学３年生～中学３年生の児童生徒",ホームページをご覧ください。,ホームページをご覧ください。,ホームページをご覧ください。,〒215-0021　神奈川県川崎市麻生区上麻生6-25-1　麻生総合病院事務局長室内,,※メールでのご連絡をお願いしております。件名に「川崎北部少年少女発明クラブの件」とご記入下さい。,,,ｋａｗａｓａｋｉｈｏｋｕｂｕｈａｔｓｕｍｅｉ＠ｇｍａｉｌ．ｃｏｍ,,,,,,
川崎さいわい少年少女発明クラブ,かわさきさいわい,http://kids.jiii.or.jp/modules/pico/index.php?content_id=94,神奈川県,川崎市幸区,神奈川県川崎市幸区堀川町72-34 ラゾーナ川崎東芝ビル2Ｆ,東芝未来科学館内,"4月から翌3月まで月1回、第3日曜日を中心に行います。
ただし、変則的に月2回活動したり、活動日が第1や第4日曜になる場合があります。",【未来コース】小4～6年生【工夫コース】未来コースを修了した小5年生以上,24名,"10,000円（保険料含む）",http://toshiba-mirai-kagakukan.jp/,,,東芝未来科学館ホームページからお申し込み,毎年2月初旬頃（予定）,毎年2月末頃（予定）抽選後メールにて結果連絡,東芝未来科学館内　少年少女発明クラブ事務局,０４４－５４９－２２００,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,10:00－18:00,０４４－５２０－１５００,東芝未来科学館お問い合わせよりご連絡ください,,,,,,
横浜中田少年少女発明クラブ,よこはまなかた,http://kids.jiii.or.jp/modules/pico/index.php?content_id=92,神奈川県,横浜市泉区,横浜市泉区中田東1-41-3,白百合ベビーホーム　地域交流室,毎月、第二・第四日曜日　9：30～12：00,小学3年生～6年生,20名,"年間3,000円",http:/nakata-club.o.oo7.jp,８月はお休みです。,工作が好きな方、器用な方、発想が豊かな方、・・,毎年３月に中田連合の自治会・町内会に掲示します。ＨＰでも案内します。,３月中旬(募集要項参照),４月中旬(募集要項参照),,045-812-2907,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9:00～17：00,045-812-2907,CQL00076＠nifty.com,,横浜市泉区中田北3-27-16,,,,
飯田少年少女発明クラブ,いいだ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=99,長野県,飯田市,長野県飯田市丸山町４－５５００－１,かざこし子どもの森公園 おいで館,月2回　土曜日　13:30～15:30,飯田市近住の小学3～6年生・中学生,20名,"年会費 3,000円(保険料含む)",https://kazakoshi.net/gaiyou/iida-hatsumei/ (かざこし子どもの森公園 HP内),,,クラブ HPからお申し込みください。,2月上旬 頃,3月中旬 頃,平成記念かざこし子どもの森公園,０２６５－５９－８０８０,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9:00～17:00　(月曜日を除く),０２６５－５９－８０７９,ｋａｚｅｔａｒｏ＠ｄｉａ．ｊａｎｓ．ｏｒ．ｊｐ,,,,,,
大町少年少女発明クラブ,おおまち,http://kids.jiii.or.jp/modules/pico/index.php?content_id=96,長野県,大町市,長野県大町市平2112-38,大町エネルギー博物館,毎週日曜日（6月中旬～11月　夏休み期間を除く）,小学校4年生～中学校3年生,20名,1シーズン2000円（自由工作材料費等は個人負担）,http://omachiemuse.web.fc2.com/,,,,,,大町少年少女発明クラブ（大町エネルギー博物館内）,０２６１－２２－７７７０,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,金曜日～火曜日　9時～16時,０２６１－２２－７７７０,,,,,,,
松本少年少女発明クラブ,まつもと,http://kids.jiii.or.jp/modules/pico/index.php?content_id=98,長野県,松本市,松本市県3-１-１,松本市あがたの森文化会館,毎月第2土曜日,主に市内在住の小学4年生～小学6年生,36,,,,,,,,松本市あがたの森文化会館内　少年少女発明クラブ事務局,０２６３－３２－１８１２,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２６３－３３－９９８６,,,,,,,
甲府少年少女発明クラブ,こうふ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=100,山梨県,甲府市,山梨県甲府市湯村3丁目,甲府市北公民館内,毎月第2土曜日　午前中　夏季休暇中は特別スケジュール,小学校3年生～中学校3年生,60名,"年会費　2,000円",,,,,,,甲府市少年少女発明クラブ（甲府市北公民館内）,０５５－２５２－０６１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,月曜日～金曜日　9:00～17:00,,,,,,,,
都留少年少女発明クラブ,つる,http://kids.jiii.or.jp/modules/pico/index.php?content_id=101,山梨県,都留市,山梨県都留市上谷１－１－２,都留市立谷村第一小学校内発明クラブ教室,土曜日（月１～２回）,都留市内在住の小学４年生～中学３年生,20名,"年間2,000円（年間保険料、材料費等）",,,,市内小中学校を通し応募用紙を提出,毎年4月中旬,毎年4月下旬,都留市教育委員会　生涯学習課　生涯学習担当,0554-43-1111,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,平日8:30～17:15,0554-45-5005,syougai2＠city.tsuru.lg.jp,,,,,,
身延町少年少女発明クラブ,みのぶちょう,http://kids.jiii.or.jp/modules/pico/index.php?content_id=102,山梨県,南巨摩郡身延町,南巨摩郡身延町梅平2483-36,身延町役場身延支所3F　旧議場,毎月第2・4土曜日9：00-11：30,小学１年生から中学３年生（小３までは保護者同伴）,20,"年間1,000円",,,,下記まで電話にて申し込みしてください。,随時、募集中です。,,身延町教育委員会生涯学習課　発明クラブ事務局,０５５６－２０－３０１７,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,平日8：30-17：00,０５５６－３６－００８８,なし,,,,,,
湖西少年少女発明クラブ,こさい,http://kids.jiii.or.jp/modules/pico/index.php?content_id=103,静岡県,湖西市,,,,,,,https://www.city.kosai.shizuoka.jp/kosodate_kyoiku/kyoiku_bunka/bunka_shogaigakushu/3206.html,,,,,,（社）発明協会　創造性開発チーム,０３－３５０２－５４３４,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,平日9:00～17:30、土日祝は不可。,０３－３５０２－３４８５,ｃｌｕｂ＠ｊｉｉｉ．ｏｒ．ｊｐ,,,,,,
静岡市少年少女発明クラブ,しずおかし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=396,静岡県,静岡市,〒424-0806　静岡県静岡市清水区辻1-2-1　えじりあ3・4階,静岡市こどもクリエイティブタウンま・あ・る(４Fなんでもホール),6/26、7/24、8/18、8/28、9/25、10/23、11/27、12/18、1/22、2/26、3/12,静岡市内小学生4年～6年生,16名,"\4,000（ミニロボ＋工具代＋保険料）",https://mini-robo.com/,最初に作るミニロボ以外の完成品はお持ち帰り頂けません。相撲ロボット、玉入れロボットなどの課題ロボットは完成後分解して部品を別の課題ロボット制作用に使用します。希望される場合は完成品をお持ち帰りいただいて結構ですが、次回クラブ開催時に必ずご持参ください。,,ミニロボ公式HPのエントリーフォームよりお申込みください。,5月23日,6月10日,ミニロボ有限責任事業組合,０５４－３６１－３２６１,※件名に、「静岡市少年少女発明クラブの件」とご記入下さい。,10：00～17:00,０５４－３６７－３３５５,minirobo01＠yahoo.co.jp 　送信の際は＠を半角小文字に変えてください。,"静岡市少年少女発明クラブの活動を紹介したブログになります。
https://shizuoka-hatsumei.blog.jp/",,,,,
藤枝市少年少女発明クラブ,ふじえだし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=392,静岡県,藤枝市,藤枝市前島1-7-10,藤枝市産学官連携推進センター,6月27日（土）～　年間9回,市内在住の小学校5，6年生,30名,無料,https://www.city.fujieda.shizuoka.jp,,,広報ふじえだ、ホームページ、小学校へ配布されたチラシ,5月5日,5月31日（本年度の募集は終了しました。）,藤枝市教育委員会生涯学習課,０５４－６３１－７１１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,8:30～17:15,０５４－６４３－３６１０,rouju＠city.fujieda.lg.jp　送信の際は＠を半角小文字に変えてください。,,,,,,
沼津市少年少女発明クラブ,ぬまづし,,静岡県,沼津市,,,,,,,,,,,,,,,,,,,,,,,,
三島市少年少女発明クラブ,みしまし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=105,静岡県,三島市,三島市大宮町1-8-38,三島市民生涯学習センター５階美術室・手芸室ほか,原則第１・第３土曜日　9：00～12：00,：三島市内在住小学4～6年生,50人程度,6000円/年,https://www.city.mishima.shizuoka.jp/ipn039994.html,,,広報みしま、市HP、小学校配布チラシ,４月１日,４月下旬,三島市生涯学習課　女性青少年係,０５５－９８３－０８８３,※件名に、「三島市少年少女発明クラブの件」とご記入ください。,8:30～17:15,０５５－９８３－０８７０,syougai@city.mishima.shizuoka.jp,,,,,,
上越市少年少女発明クラブ,じょうえつし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=108,新潟県,上越市,新潟県上越市下門前446番地2,上越科学館,土曜日（毎月1～2回、午前9時～12時、わくわくコースは年10回、はっけんコースとひらめきコースは年15回）　施設見学の回のみ8月中の平日,小学校2年生～中学校3年生,各コース24名、合計72名,"参加費：わくわくコースは年2,000円、はっけんコースは年3,000円、ひらめきコースは年4,000円",https://www.city.joetsu.niigata.jp/site/kagakukan/,,工作や工夫に興味があるお子さんを募集します,年度末、市内小中学校に配布する案内状にある申込書で応募します。定員を超える場合は、抽選することがあります。,案内状にあります。,案内状にあります。,上越市少年少女発明クラブ事務局（上越科学館内）,０２５－５４４－２１２２（代表）,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,電話は上越科学館開館日の13:00～17:00,０２５－５４４－３９３９,kagakukan＠city.joetsu.lg.jp　※＠を半角小文字に直して送信してください,,,,,,
愛知みよし少年少女発明クラブ,あいちみよしし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=364,愛知県,愛知みよし市,愛知県みよし市三好町大慈山2-11,㈶みよし市　保田ヶ池センター,原則として日曜日の午後,みよし市在住の小学校３年生～小学校６年生,４０名,"年会費6,000円",,,,"市広報""Hol Line""に掲載し、応募者多数の場合は先着順または抽選を行います。",,,㈶みよし商工会,０９０－１７８２－２９００,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,,,,,,,,
